draw,gpp,lai_mean,lai_max,ceff,lma,f_auto,c_fol_0,f_fol,f_lab,d_onset,cr_onset,cr_fall,c_lf
92,2616.0425108360696,4.820811437406388,6.518149217477449,40.67270887670984,237.12119282547238,0.3879823659864794,1133.5677998408344,0.010096358145907015,0.0987982746600337,120.91851959448393,39.27101399197815,29.980953023194942,0.25862074528594675
93,2901.844004489732,6.722968681512527,18.246773929827,64.69641235786665,162.95654009907994,0.4356483400836184,1815.5802873345601,0.006445607124903209,0.08511728258505538,302.3234213569601,75.3975674080719,85.64648270008769,0.30377782984443236
94,3185.0876237889393,8.048904789822942,10.251892121332938,89.33353381311605,232.6694018820658,0.337758889098146,356.4261989472793,0.0736840714676583,0.15674001200584864,80.18551853848632,24.429332701010214,101.76785617668297,0.25603268757595826
95,3204.181462491195,10.654196487817682,14.859888630018949,83.66687486085158,188.07544382938374,0.42682008146793704,156.1982024533643,0.07864849586340525,0.1582479957348181,29.374937752001184,24.70583794909883,114.7331054601324,0.2259061572398934
96,2116.7543417988586,4.260153244304294,6.313552009328027,26.167133858238362,207.7780590896004,0.6064259056874483,240.99209263306557,0.08958703876942095,0.028182514437928175,170.82207580237136,73.44223844751656,92.54401441386685,0.26024025624041636
97,2981.5425263391194,8.041988502434172,9.974075051856161,61.50293546418969,156.4276935696987,0.39367991853127804,101.28488997558583,0.12873885870499455,0.05275179684252453,292.5460484785387,42.507999573622236,78.34247234079093,0.32726011053717846
98,3207.092876099284,9.354719288896765,10.704078109204886,80.41966248505126,239.7795070290322,0.412402978991704,1777.68155689851,0.09317427552750542,0.12468371525577063,336.1379748519761,97.26469025867546,123.65306225960624,0.24331205765515143
99,2879.383823486476,6.047205951379566,10.496537764361731,56.0388286872565,188.4417260629779,0.5925220324718501,1973.6572468840413,0.037937143135410224,0.023396595434009432,240.98234419027798,28.185950212545368,31.92011179189257,0.2091547517198178
100,2964.5067690957944,10.046079689122632,12.758534768451662,32.17030902755701,179.2211490004015,0.3410164318164608,520.0564359929297,0.04588206887404939,0.1315697129015126,172.02011331917114,22.54972325873279,127.63219731615659,0.2275424744076467
101,3243.5967838129122,11.250951784677758,12.707927508618091,98.91336215399606,174.8788513028971,0.5392031462668311,640.3279802295949,0.08743973254189281,0.10823530689852294,180.67568992499397,27.09819010436859,59.64380221963409,0.27903423054342613
